信号日期,股票名称,股票数量,买入单价,买入总价,卖出单价,卖出总价,单次利润,单次利润率,当前资产,累计利润率
2016-07-21,sh510050,30700.0,2.22,68160.81539999999,2.19,67226.2767,-934.5386999999901,-0.013710791083053713,68262.52726999998,0.4808293019375823
2016-08-01,sh511010,500.0,112.649,56330.13245,113.036,56512.3482,182.21575000000303,0.0032347829141311213,67327.98856999999,0.48406408485171337
2016-08-12,sh510050,29700.0,2.272,67485.14783999999,2.267,67323.16700999999,-161.98083000000042,-0.0024002441305165326,67510.20431999999,0.48166384072119683
2016-08-26,sz159915,32100.0,2.095,67256.22495,2.099,67371.16221000001,114.93726000000606,0.0017089460505024384,67348.22348999999,0.48337278677169926
2016-08-31,sh510050,29500.0,2.284,67384.7378,2.286,67430.2563,45.518499999991036,0.0006755016267198569,67463.16075,0.4840482883984191
2016-09-06,sz159915,31700.0,2.128,67464.34576000001,2.06,65295.4698,-2168.875960000012,-0.03214847688163532,67508.67924999999,0.4518998115167838
2016-09-12,空仓,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65339.803289999974,0.4518998115167838
2016-09-22,sh511010,500.0,112.85,56430.6425,113.175,56581.84125,151.19874999999593,0.002679373179208369,65339.803289999974,0.4545791846959922
2016-10-10,sz159915,30900.0,2.119,65483.647710000005,2.116,65377.861560000005,-105.7861499999999,-0.0016154590298402896,65491.00203999997,0.4529637256661519
2016-10-12,sh511010,500.0,113.198,56604.6599,113.43,56709.3285,104.66860000000452,0.0018491163127720607,65385.21588999997,0.45481284197892397
2016-10-18,sz159915,31000.0,2.107,65323.53170000001,2.09,64783.52099999999,-540.0107000000135,-0.008266710111143813,65489.884489999975,0.44654613186778014
2016-10-21,sh510050,28200.0,2.295,64725.4719,2.36,66545.3448,1819.8729000000094,0.02811679616352105,64949.87378999996,0.47466292803130117
2016-12-14,空仓,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66769.74668999997,0.47466292803130117
2017-01-10,sh511010,600.0,110.705,66429.64229999999,110.384,66223.77695999999,-205.86534000000393,-0.0030989981711824445,66769.74668999997,0.47156392986011875
2017-01-16,sh510050,28400.0,2.339,66434.24276000001,2.361,67045.69476000001,611.4520000000048,0.0092038679843004,66563.88134999997,0.48076779784441914
2017-02-17,sz159915,37200.0,1.801,67003.89972,1.817,67585.64076,581.7410399999935,0.008682196744234419,67175.33334999997,0.48944999458865357
2017-02-20,sh510050,28200.0,2.395,67545.7539,2.393,67475.85174,-69.90215999999782,-0.0010348860729793086,67757.07438999997,0.48841510851567427
2017-02-21,sz159915,36700.0,1.842,67608.16014,1.813,66530.44628999999,-1077.7138500000146,-0.01594058835158851,67687.17222999997,0.47247452016408575
2017-03-30,空仓,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66609.45837999995,0.47247452016408575
2017-03-31,sh510050,28200.0,2.356,66445.84392,2.35,66263.373,-182.47091999999247,-0.0027461600189725224,66609.45837999995,0.4697283601451132
2017-04-14,sh511010,500.0,110.94,55475.547,110.697,55342.96515,-132.58184999999503,-0.0023899151458568768,66426.98745999996,0.4673384449992563
2017-04-17,sh510050,28100.0,2.353,66125.91193,2.338,65691.23022,-434.6817100000044,-0.006573545790342409,66294.40560999996,0.4607648992089139
2017-04-18,空仓,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65859.72389999995,0.4607648992089139
2017-05-12,sh510050,27700.0,2.37,65655.5649,2.548,70572.54204,4916.977140000003,0.07489048563498085,65859.72389999995,0.5356553848438947
2017-06-28,sz159915,40800.0,1.734,70754.27472,1.742,71066.49264000001,312.21792000001005,0.0044127075181756605,70776.70103999996,0.5400680923620704
2017-06-29,sh510050,27700.0,2.565,71057.60505,2.543,70434.05589,-623.549159999995,-0.008775262824594664,71088.91895999997,0.5312928295374758
2017-07-03,sz159915,39900.0,1.764,70390.63836000001,1.755,70017.49755,-373.1408100000117,-0.005301000512193844,70465.36979999997,0.525991829025282
2017-07-04,sh510050,27800.0,2.519,70035.20281999999,2.561,71188.68042,1153.477600000013,0.016469968723651838,70092.22898999996,0.5424617977489338
